Fairfield East,"$707,500.00"
Fairfield Heights,"$765,000.00"
Fairfield West,"$700,000.00"
Fairlight,"$1,460,000.00"
Five Dock,"$1,050,000.00"
Forest Lodge,"$812,500.00"
Forestville,"$1,200,000.00"
Frenchs Forest,"$1,312,500.00"
Freshwater,"$750,000.00"
Earlwood,"$1,250,000.00"
East Hills,"$858,000.00"
East Killara,"$2,365,000.00"
East Lindfield,"$1,707,500.00"
East Ryde,"$1,597,500.00"
Eastern Creek,"$633,000.00"
Eastgardens,"$1,840,000.00"
Eastlakes,"$570,000.00"
Eastwood,"$1,428,000.00"
Edensor Park,"$706,000.00"
Edgecliff,"$1,450,000.00"
Edmondson Park,"$515,000.00"
Elanora Heights,"$1,330,000.00"
Elizabeth Bay,"$800,000.00"
Elvina Bay,"$705,000.00"
Enfield,"$620,000.00"
Engadine,"$791,000.00"
Enmore,"$1,204,500.00"
Epping,"$909,000.00"
Ermington,"$950,000.00"
Erskine Park,"$666,250.00"
Erskineville,"$747,500.00"
Eveleigh,"$638,500.00"
Daceyville,"$1,342,751.00"
Darling Point,"$1,435,000.00"
Darlington,"$1,290,000.00"
Davidson,"$1,440,000.00"
Dean Park,"$603,750.00"
Denistone,"$1,405,000.00"
Denistone East,"$1,300,000.00"
Denistone West,"$1,350,000.00"
Dolans Bay,"$1,645,000.00"
Dolls Point,"$677,500.00"
Doonside,"$592,500.00"
Double Bay,"$1,482,500.00"
Dover Heights,"$3,071,000.00"
Drummoyne,"$1,270,000.00"
Duffys Forest,"$3,220,000.00"
Dulwich Hill,"$720,000.00"
Dundas,"$1,005,000.00"
Dundas Valley,"$850,000.00"
Dural,"$1,282,500.00"
Cabarita,"$1,940,000.00"
Cabramatta,"$440,000.00"
Cabramatta West,"$760,000.00"
Cammeray,"$1,019,000.00"
Camperdown,"$890,000.00"
Campsie,"$580,000.00"
Canada Bay,"$1,000,000.00"
Canley Heights,"$727,000.00"
Canley Vale,"$527,000.00"
Canterbury,"$670,000.00"
Caringbah,"$605,000.00"
Caringbah South,"$1,225,000.00"
Carlingford,"$985,000.00"
Carlton,"$702,500.00"
Carnes Hill,"$435,000.00"
Carramar,"$357,500.00"
Carss Park,"$1,050,000.00"
Cartwright,"$500,000.00"
Castle Cove,"$2,220,000.00"
Castlecrag,"$2,915,000.00"
Casula,"$702,500.00"
Cecil Hills,"$725,000.00"
Centennial Park,"$607,500.00"
Chatswood,"$913,500.00"
Chatswood West,"$1,375,000.00"
Cheltenham,"$1,200,000.00"
Cherrybrook,"$1,394,800.00"
Chester Hill,"$730,000.00"
Chifley,"$1,580,000.00"
Chippendale,"$750,000.00"
Chipping Norton,"$705,000.00"
Chiswick,"$800,000.00"
Chullora,"$405,000.00"
Church Point,"$1,350,000.00"
Clareville,"$1,687,500.00"
Clemton Park,"$872,500.00"
Clontarf,"$3,305,000.00"
Clovelly,"$1,260,000.00"
Colebee,"$549,000.00"
Collaroy,"$775,000.00"
Collaroy Plateau West,"$1,362,500.00"
Colyton,"$555,000.00"
Como,"$1,215,000.00"
Concord,"$1,297,500.00"
Concord West,"$1,417,500.00"
Condell Park,"$702,000.00"
Connells Point,"$1,565,000.00"
Constitution Hill,"$855,000.00"
Coogee,"$885,000.00"
Cornwallis,"$950,000.00"
Cowan,"$850,000.00"
Cremorne,"$987,500.00"
Cremorne Point,"$1,290,000.00"
Cronulla,"$800,000.00"
Crows Nest,"$899,000.00"
Croydon,"$1,090,000.00"
Croydon Park,"$776,500.00"
Cumberland Reach,"$852,500.00"
Curl Curl,"$1,350,000.00"
Balgowlah,"$1,370,000.00"
Balgowlah Heights,"$2,100,000.00"
Balmain,"$1,700,000.00"
Balmain East,"$2,180,000.00"
Bangor,"$873,001.00"
Banksia,"$560,000.00"
Banksmeadow,"$1,250,000.00"
Bankstown,"$496,000.00"
Barden Ridge,"$1,100,000.00"
Bardia,"$710,000.00"
Bardwell Park,"$1,280,000.00"
Bardwell Valley,"$1,035,000.00"
Bass Hill,"$670,500.00"
Bayview,"$1,648,500.00"
Beacon Hill,"$1,178,000.00"
Beaconsfield,"$841,500.00"
Beaumont Hills,"$957,500.00"
Beecroft,"$1,410,500.00"
Belfield,"$1,081,000.00"
Bellevue Hill,"$1,567,500.00"
Belmore,"$717,500.00"
Belrose,"$1,295,000.00"
Berala,"$783,000.00"
Berowra,"$870,000.00"
Berowra Creek,"$600,000.00"
Berowra Heights,"$976,500.00"
Beverley Park,"$1,500,000.00"
Beverly Hills,"$1,155,000.00"
Bexley,"$780,000.00"
Bexley North,"$1,200,000.00"
Bidwill,"$460,000.00"
Bilgola,"$1,500,000.00"
Birchgrove,"$1,600,000.00"
Birrong,"$732,500.00"
Blakehurst,"$1,501,000.00"
Bligh Park,"$585,000.00"
Bondi Junction,"$1,300,000.00"
Bonnet Bay,"$917,500.00"
Bonnyrigg,"$640,000.00"
Bonnyrigg Heights,"$677,500.00"
Bossley Park,"$731,500.00"
Botany,"$800,000.00"
Breakfast Point,"$1,075,000.00"
Brighton-le-sands,"$872,500.00"
Bringelly,"$1,820,000.00"
Bronte,"$1,833,000.00"
